(0.242523+0.754494j)
(0.265518+0.730198j)
(0.28318+0.70599j)
(0.295391+0.683914j)
(0.30558+0.665985j)
(0.316341+0.652832j)
(0.328835+0.642006j)
(0.346039+0.631558j)
(0.366489+0.619526j)
(0.38871+0.602196j)
(0.410351+0.58131j)
(0.429039+0.554489j)
(0.442345+0.525417j)
(0.449158+0.496262j)
(0.450062+0.469185j)
(0.448036+0.446949j)
(0.445885+0.429768j)
(0.44569+0.417345j)
(0.449379+0.40662j)
(0.457394+0.395441j)
(0.467815+0.380598j)
(0.478134+0.361938j)
(0.488285+0.338587j)
(0.492828+0.312357j)
(0.49173+0.285042j)
(0.485756+0.260303j)
(0.474888+0.240229j)
(0.46327+0.225637j)
(0.453472+0.217112j)
(0.447325+0.211567j)
(0.446653+0.207382j)
(0.450605+0.200836j)
(0.45681+0.189817j)
(0.463453+0.174164j)
(0.46694+0.153913j)
(0.465382+0.130919j)
(0.458075+0.108683j)
(0.445786+0.0898285j)
(0.430553+0.0760355j)
(0.415435+0.067853j)
(0.403427+0.0651512j)
(0.396084+0.0653381j)
(0.394362+0.0652466j)
(0.397458+0.0619764j)
(0.402086+0.0535431j)
(0.405726+0.0405979j)
(0.405933+0.0237093j)
(0.400755+0.00501251j)
(0.390029-0.0120354j)
(0.375105-0.0253935j)
(0.358304-0.0331678j)
(0.343224-0.0350761j)
(0.331613-0.0329208j)
(0.325717-0.0287819j)
(0.325603-0.0257215j)
(0.329246-0.0268345j)
(0.334139-0.0335112j)
(0.337081-0.0450373j)
(0.335853-0.060607j)
(0.328473-0.0767765j)
(0.315758-0.0909071j)
(0.299189-0.100469j)
(0.281627-0.104147j)
(0.266242-0.10173j)
(0.255677-0.0951261j)
(0.251182-0.0875454j)
(0.252409-0.0820417j)
(0.257564-0.0814643j)
(0.263316-0.0867481j)
(0.266215-0.0971618j)
(0.264419-0.110981j)
(0.256333-0.125411j)
(0.24305-0.137069j)
(0.226442-0.143606j)
(0.20949-0.14403j)
(0.195115-0.138973j)
(0.18586-0.130346j)
(0.182917-0.121058j)
(0.185532-0.114311j)
(0.191265-0.112585j)
(0.196941-0.11712j)
(0.199639-0.126421j)
(0.197365-0.138586j)
(0.188976-0.150548j)
(0.175587-0.159371j)
(0.159862-0.1631j)
(0.144497-0.160779j)
(0.132436-0.153219j)
(0.125822-0.142988j)
(0.125534-0.132961j)
(0.13018-0.126784j)
(0.137267-0.125983j)
(0.143087-0.131523j)
(0.145059-0.141416j)
(0.141199-0.153503j)
(0.130965-0.164429j)
(0.116149-0.171033j)
(0.0996147-0.171645j)
(0.0843457-0.166025j)
(0.0736609-0.155311j)
(0.0691677-0.142437j)
(0.0710994-0.130474j)
(0.078052-0.122686j)
(0.0871134-0.121565j)
(0.0945936-0.126838j)
(0.0977534-0.136599j)
(0.0949115-0.148543j)
(0.0857836-0.15892j)
(0.072176-0.165241j)
(0.0566348-0.165301j)
(0.0426539-0.159268j)
(0.0327045-0.148413j)
(0.0289075-0.135427j)
(0.0315318-0.124026j)
(0.0385872-0.116916j)
(0.0470617-0.115623j)
(0.053899-0.120347j)
(0.0562214-0.129185j)
(0.0525714-0.139292j)
(0.0432916-0.147337j)
(0.0306152-0.150697j)
(0.0167512-0.148018j)
(0.00535262-0.13975j)
(-0.00111592-0.127501j)
(-0.00119042-0.114448j)
(0.00455606-0.103997j)
(0.0139089-0.0986819j)
(0.0242023-0.0997772j)
(0.0317451-0.106989j)
(0.0337461-0.117797j)
(0.0293424-0.129384j)
(0.018715-0.138523j)
(0.0042702-0.142264j)
(-0.0110523-0.139271j)
(-0.023674-0.129943j)
(-0.0307025-0.116247j)
(-0.030815-0.101536j)
(-0.0245316-0.0892758j)
(-0.0139451-0.0825183j)
(-0.00248861-0.0826812j)
(0.00625623-0.0893846j)
(0.00960588-0.100389j)
(0.00599802-0.1122j)
(-0.00395602-0.121272j)
(-0.0179845-0.124965j)
(-0.0328859-0.121864j)
(-0.0452277-0.112205j)
(-0.0520039-0.097996j)
(-0.0516333-0.0826033j)
(-0.0446303-0.0700307j)
(-0.0333042-0.062989j)
(-0.0210245-0.0628369j)
(-0.0113211-0.0694876j)
(-0.00727224-0.0802708j)
(-0.0100378-0.0922445j)
(-0.0195538-0.101593j)
(-0.0331967-0.105163j)
(-0.0476273-0.101967j)
(-0.0593718-0.0921258j)
(-0.065569-0.0779722j)
(-0.0647095-0.0625885j)
(-0.0571325-0.0496955j)
(-0.0450467-0.0424926j)
(-0.031961-0.0424607j)
(-0.021634-0.0492315j)
