(0.0141525-0.0188224j)
(0.0164521-0.0240313j)
(0.0161116-0.0298248j)
(0.0132561-0.034668j)
(0.0087214-0.0375408j)
(0.00355913-0.0379643j)
(-0.00104649-0.0360184j)
(-0.00400792-0.0322394j)
(-0.00472689-0.027806j)
(-0.00322279-0.0238781j)
(-0.000100508-0.0213351j)
(0.0036173-0.0206936j)
(0.00675255-0.0220428j)
(0.00878461-0.0250192j)
(0.00892622-0.028542j)
(0.00731583-0.0315235j)
(0.00433929-0.0331051j)
(0.0010081-0.032789j)
(-0.00172302-0.0305249j)
(-0.00284773-0.0272915j)
(-0.00209485-0.0237175j)
(0.000585907-0.0206093j)
(0.00446577-0.0190922j)
(0.00886865-0.0198891j)
(0.0125122-0.0226489j)
(0.0144379-0.0268147j)
(0.0142193-0.0314057j)
(0.0117542-0.0354902j)
(0.007627-0.0380034j)
(0.00299912-0.0382088j)
(-0.00115438-0.0361437j)
(-0.00372681-0.0325303j)
(-0.00421956-0.0281042j)
(-0.00234864-0.0240187j)
(0.00130771-0.0214475j)
(0.00583357-0.020972j)
(0.0100478-0.0227729j)
(0.0127147-0.0265428j)
(0.0133173-0.0313214j)
(0.0115989-0.0356603j)
(0.00792815-0.0386278j)
(0.00324572-0.0395227j)
(-0.00133683-0.0379924j)
(-0.00466373-0.0343511j)
(-0.00583766-0.0296242j)
(-0.00439431-0.0248699j)
(-0.000697507-0.021345j)
(0.00415249-0.0198957j)
(0.00905543-0.0209706j)
(0.0129155-0.0244012j)
(0.0147362-0.0292706j)
(0.0141622-0.0342969j)
(0.0111798-0.038476j)
(0.00661176-0.0407803j)
(0.0015834-0.040666j)
(-0.00257122-0.0380102j)
(-0.00487635-0.0337141j)
(-0.00473541-0.028813j)
(-0.00216485-0.0245838j)
(0.00211799-0.0221863j)
(0.00713098-0.0223742j)
(0.0116754-0.0249727j)
(0.0143039-0.0290608j)
(0.0145614-0.0343987j)
(0.012203-0.0392341j)
(0.00786407-0.0423231j)
(0.00254554-0.043043j)
(-0.00239533-0.0412525j)
(-0.00591521-0.0372461j)
(-0.0070173-0.0321998j)
(-0.00544335-0.02722j)
(-0.0017342-0.0237827j)
(0.00321138-0.0225908j)
(0.00809278-0.0238699j)
(0.011748-0.0273165j)
(0.0132237-0.0323151j)
(0.0121463-0.0373328j)
(0.00842241-0.0411006j)
(0.00326924-0.0426899j)
(-0.00204358-0.0417269j)
(-0.00618053-0.0382686j)
(-0.00799472-0.0331342j)
(-0.0071687-0.0276539j)
(-0.00401806-0.0230698j)
(0.00104079-0.0205975j)
(0.00674467-0.0206983j)
(0.0117855-0.0234151j)
(0.0147727-0.0281092j)
(0.0152667-0.0334962j)
(0.0130767-0.0383688j)
(0.00885406-0.041585j)
(0.00385933-0.042377j)
(-0.000745089-0.0406037j)
(-0.0035522-0.0368155j)
(-0.00391835-0.0321291j)
(-0.00213193-0.0276848j)
(0.00175796-0.0250009j)
(0.00668375-0.0247093j)
(0.0112998-0.0270134j)
(0.0143937-0.0314906j)
(0.0148408-0.0369675j)
(0.0126835-0.0421994j)
(0.00823944-0.0459172j)
(0.00230809-0.0472909j)
(-0.00358903-0.0457612j)
(-0.00805235-0.041808j)
(-0.0101099-0.0363605j)
(-0.00923064-0.0303774j)
(-0.0058409-0.025594j)
(-0.000841141-0.0229985j)
(0.00461934-0.0232328j)
(0.00937262-0.0262423j)
(0.0119364-0.0312354j)
(0.0117879-0.0364729j)
(0.00892221-0.0408925j)
(0.00418681-0.0432882j)
(-0.00113288-0.0430227j)
(-0.005769-0.0398891j)
(-0.00840549-0.0348847j)
(-0.00806949-0.0288811j)
(-0.00480358-0.0235996j)
(0.000588447-0.0204667j)
(0.00704281-0.0202208j)
(0.013217-0.0230749j)
(0.0174327-0.0284939j)
(0.018978-0.0352647j)
(0.0173645-0.0419096j)
(0.0127487-0.0472375j)
(0.00643198-0.0499616j)
(9.2073e-05-0.0494709j)
(-0.00504017-0.0461503j)
(-0.00831828-0.0409407j)
(-0.00853969-0.0350426j)
(-0.00571729-0.0301633j)
(-0.000883429-0.0274186j)
(0.00456867-0.0273729j)
(0.00937477-0.0301199j)
(0.0121795-0.0348523j)
(0.0123559-0.0404771j)
(0.00979631-0.0456301j)
(0.0051253-0.0489725j)
(-0.000557124-0.0498338j)
(-0.00579084-0.0479443j)
(-0.00949726-0.0439115j)
(-0.0106098-0.0388041j)
(-0.00925792-0.0338366j)
(-0.00561807-0.0302711j)
(-0.000865698-0.0291968j)
(0.0038532-0.0307393j)
(0.00724109-0.0341446j)
(0.00837787-0.0388793j)
(0.00706127-0.043925j)
