(-0.319413+0.501142j)
(-0.00484639+0.610044j)
(0.329805+0.530614j)
(0.574219+0.275259j)
(0.64082-0.0782743j)
(0.502105-0.413541j)
(0.204142-0.619153j)
(-0.155223-0.633301j)
(-0.465144-0.457387j)
(-0.636151-0.147513j)
(-0.623936+0.205362j)
(-0.429842+0.504617j)
(-0.105176+0.662811j)
(0.260711+0.628357j)
(0.559354+0.401792j)
(0.694408+0.0457607j)
(0.61701-0.33169j)
(0.34862-0.609565j)
(-0.0256382-0.700597j)
(-0.387659-0.580828j)
(-0.630294-0.292402j)
(-0.688541+0.0754865j)
(-0.5511+0.42006j)
(-0.2574+0.645684j)
(0.112948+0.689916j)
(0.457558+0.536309j)
(0.675151+0.222043j)
(0.696087-0.164677j)
(0.508649-0.506956j)
(0.167208-0.698264j)
(-0.222109-0.680455j)
(-0.540369-0.462869j)
(-0.696711-0.115949j)
(-0.653419+0.257126j)
(-0.428288+0.552926j)
(-0.0862404+0.693704j)
(0.280616+0.642356j)
(0.573045+0.410446j)
(0.70713+0.0575594j)
(0.638617-0.318161j)
(0.382236-0.605877j)
(0.0113908-0.716745j)
(-0.361555-0.616716j)
(-0.625142-0.338688j)
(-0.705348+0.0310778j)
(-0.586551+0.385266j)
(-0.307452+0.627303j)
(0.0533427+0.69519j)
(0.399116+0.572979j)
(0.638128+0.291507j)
(0.701386-0.0759384j)
(0.566142-0.427924j)
(0.265267-0.661081j)
(-0.115299-0.703823j)
(-0.461816-0.541785j)
(-0.671603-0.225159j)
(-0.687333+0.150117j)
(-0.511741+0.476287j)
(-0.198424+0.666719j)
(0.1652+0.674024j)
(0.483566+0.498735j)
(0.672645+0.185315j)
(0.677053-0.182327j)
(0.49159-0.505943j)
(0.162679-0.689926j)
(-0.216464-0.676432j)
(-0.533412-0.467701j)
(-0.695213-0.126342j)
(-0.658143+0.245653j)
(-0.438836+0.542917j)
(-0.103034+0.686889j)
(0.25662+0.643251j)
(0.546016+0.426546j)
(0.688833+0.0928024j)
(0.644237-0.270493j)
(0.41903-0.564131j)
(0.0716421-0.70257j)
(-0.300034-0.641478j)
(-0.587067-0.39633j)
(-0.705294-0.0391532j)
(-0.623127+0.325078j)
(-0.369509+0.593467j)
(-0.0182253+0.695746j)
(0.334186+0.608317j)
(0.595007+0.357053j)
(0.695594+0.00827501j)
(0.606972-0.346417j)
(0.348365-0.609974j)
(-0.0119287-0.705472j)
(-0.372372-0.601543j)
(-0.628023-0.325753j)
(-0.704476+0.0411094j)
(-0.582543+0.392605j)
(-0.301403+0.630613j)
(0.0580556+0.693483j)
(0.398262+0.568677j)
(0.630261+0.291186j)
(0.692961-0.0659704j)
(0.567134-0.408812j)
(0.282869-0.643405j)
(-0.0847414-0.700967j)
(-0.432155-0.561194j)
(-0.658849-0.261721j)
(-0.698694+0.111478j)
(-0.542433+0.450073j)
(-0.238207+0.659995j)
(0.127291+0.687025j)
(0.454789+0.527933j)
(0.658197+0.227437j)
(0.684376-0.134891j)
(0.524731-0.463324j)
(0.219199-0.668275j)
(-0.15063-0.689759j)
(-0.48246-0.518429j)
(-0.680233-0.200163j)
(-0.686762+0.174143j)
(-0.501476+0.497833j)
(-0.179353+0.681161j)
(0.188793+0.676247j)
(0.502605+0.487983j)
(0.679712+0.168565j)
(0.673107-0.196808j)
(0.483253-0.510877j)
(0.159197-0.687728j)
(-0.212443-0.675775j)
(-0.527801-0.475077j)
(-0.696707-0.140422j)
(-0.670475+0.233296j)
(-0.457825+0.539951j)
(-0.121016+0.695113j)
(0.245645+0.658795j)
(0.542616+0.444391j)
(0.691815+0.111209j)
(0.654368-0.251656j)
(0.439861-0.548j)
(0.10359-0.697416j)
(-0.264491-0.656352j)
(-0.562691-0.432757j)
(-0.705702-0.0868442j)
(-0.651911+0.283855j)
(-0.416855+0.574455j)
(-0.0681255+0.704536j)
(0.29621+0.640492j)
(0.576891+0.40289j)
(0.700061+0.0580655j)
(0.634563-0.301665j)
(0.397485-0.580743j)
(0.0509589-0.703801j)
(-0.312431-0.63519j)
(-0.592874-0.390798j)
(-0.710661-0.0362083j)
(-0.631124+0.329587j)
(-0.376338+0.60354j)
(-0.018635+0.709497j)
(0.341623+0.619923j)
(0.605952+0.36215j)
(0.704643+0.00804736j)
(0.612695-0.347054j)
(0.355531-0.608528j)
(0.00102394-0.706125j)
(-0.356043-0.61206j)
(-0.618235-0.349183j)
(-0.711377+0.0116771j)
(-0.607939+0.370959j)
(-0.335897+0.627691j)
(0.0281228+0.710306j)
(0.382397+0.597473j)
(0.630101+0.322344j)
(0.705478-0.0385954j)
(0.58985-0.387634j)
(0.315183-0.631694j)
(-0.04549-0.705433j)
(-0.395524-0.587562j)
(-0.639275-0.308351j)
(-0.708605+0.0571264j)
(-0.582663+0.408118j)
(-0.295806+0.646752j)
(0.0718943+0.706493j)
(0.417767+0.572137j)
(0.647604+0.282958j)
(0.700537-0.0810937j)
(0.564385-0.421407j)
(0.276551-0.647697j)
(-0.0862105-0.699805j)
(-0.427281-0.562524j)
(-0.654144-0.271307j)
(-0.703201+0.0960923j)
(-0.558921+0.439073j)
(-0.26021+0.661667j)
(0.110036+0.702078j)
(0.448797+0.549635j)
(0.663441+0.247834j)
(0.696648-0.11947j)
(0.541434-0.452793j)
(0.240815-0.663044j)
(-0.124791-0.694732j)
(-0.457666-0.538676j)
(-0.667982-0.235467j)
(-0.696974+0.133769j)
(-0.534898+0.468131j)
(-0.225124+0.674805j)
(0.146831+0.695868j)
(0.477559+0.525747j)
(0.676459+0.212613j)
(0.690184-0.15684j)
(0.516961-0.481933j)
(0.204791-0.675935j)
(-0.162234-0.687281j)
(-0.485869-0.513129j)
(-0.678992-0.199414j)
(-0.688222+0.170004j)
(-0.509138+0.495086j)
(-0.190161+0.684726j)
(0.181835+0.686964j)
(0.50344+0.500479j)
(0.685867+0.177998j)
(0.680808-0.191231j)
(0.491307-0.506581j)
(0.170136-0.6838j)
(-0.195745-0.676483j)
(-0.508962-0.486982j)
(-0.68537-0.165815j)
(-0.67682+0.201746j)
(-0.484033+0.515786j)
(-0.157963+0.690377j)
(0.211979+0.676019j)
(0.523917+0.476218j)
(0.691656+0.146861j)
(0.670164-0.221164j)
(0.467156-0.527179j)
(0.138892-0.689319j)
(-0.225458-0.66527j)
(-0.528623-0.462233j)
(-0.689703-0.134849j)
(-0.664946+0.229872j)
(-0.460088+0.533924j)
(-0.128929+0.693878j)
(0.238646+0.664903j)
(0.541539+0.453814j)
(0.696101+0.118821j)
(0.660113-0.247721j)
(0.445208-0.545535j)
(0.110527-0.694062j)
(-0.252702-0.655041j)
(-0.546817-0.439486j)
(-0.693804-0.105936j)
(-0.653801+0.256622j)
(-0.436887+0.551026j)
(-0.100773+0.696714j)
(0.26411+0.653198j)
(0.557247+0.431272j)
(0.698641+0.0917269j)
(0.649299-0.272211j)
(0.423572-0.561319j)
(0.0840955-0.697242j)
(-0.277131-0.644509j)
(-0.562794-0.418478j)
(-0.696806-0.0797161j)
(-0.643148+0.280679j)
(-0.415643+0.566247j)
(-0.074825+0.69937j)
(0.287478+0.642585j)
(0.572209+0.410876j)
(0.701278+0.0667793j)
(0.639326-0.295269j)
(0.4034-0.576269j)
(0.0589874-0.700454j)
(-0.300429-0.634604j)
(-0.578207-0.398064j)
(-0.699612-0.0542357j)
(-0.632727+0.304505j)
(-0.394479+0.581346j)
(-0.0486439+0.701706j)
(0.311033+0.631457j)
(0.58703+0.389065j)
(0.702924+0.0406078j)
