(0.00505014+0.0057558j)
(0.00626486-0.00321084j)
(0.0028234-0.0116074j)
(-0.00437121-0.0177496j)
(-0.0136819-0.0198841j)
(-0.0231131-0.0170045j)
(-0.0301677-0.00997625j)
(-0.0331878-0.00042358j)
(-0.0315004+0.00949067j)
(-0.0251755+0.0177243j)
(-0.0161155+0.0219878j)
(-0.00629023+0.0214545j)
(0.00184596+0.0163249j)
(0.00641499+0.00816576j)
(0.00649696-0.000825673j)
(0.00211059-0.0087821j)
(-0.00535837-0.0133901j)
(-0.0140891-0.0133528j)
(-0.0215037-0.00916585j)
(-0.0259714-0.00146416j)
(-0.0260612+0.00761023j)
(-0.0214714+0.0154994j)
(-0.0136607+0.0203104j)
(-0.00392991+0.0207999j)
(0.00498995+0.0164965j)
(0.010682+0.00840206j)
(0.0120251-0.00148548j)
(0.0083309-0.0109982j)
(0.000846162-0.0176034j)
(-0.00898451-0.0199043j)
(-0.0186152-0.0172727j)
(-0.0258277-0.0101815j)
(-0.0288316-0.000418096j)
(-0.0267012+0.00948551j)
(-0.0200396+0.0174082j)
(-0.010315+0.0210578j)
(3.76254e-05+0.0196591j)
(0.00837058+0.0131858j)
(0.012731+0.00369334j)
(0.0120919-0.0066781j)
(0.00659623-0.0156322j)
(-0.00251508-0.0207016j)
(-0.0128409-0.0207713j)
(-0.0216944-0.0157079j)
(-0.0270115-0.00691721j)
(-0.0275903+0.00317761j)
(-0.0230821+0.0124463j)
(-0.0145111+0.0183001j)
(-0.00404885+0.0191163j)
(0.00565231+0.0146111j)
(0.0117926+0.00595832j)
(0.0132732-0.00460169j)
(0.00962093-0.01449j)
(0.00153042-0.021762j)
(-0.00917493-0.0240106j)
(-0.0195559-0.0209485j)
(-0.0272655-0.0131667j)
(-0.0302411-0.00247695j)
(-0.0275383+0.00853396j)
(-0.019995+0.0168041j)
(-0.0091525+0.0203859j)
(0.00202864+0.0184208j)
(0.0112687+0.010958j)
(0.0156205+8.71498e-05j)
(0.0143036-0.0115164j)
(0.00773356-0.0210878j)
(-0.00274339-0.0262786j)
(-0.0143284-0.0259482j)
(-0.0243589-0.0198166j)
(-0.0303323-0.0100451j)
(-0.03073+0.00159624j)
(-0.025272+0.0120004j)
(-0.0154975+0.0185445j)
(-0.00385815+0.0195132j)
(0.00660788+0.0147539j)
(0.0138693+0.00556387j)
(0.0157842-0.0059822j)
(0.0119575-0.0169662j)
(0.00328852-0.0245283j)
(-0.00788093-0.0271778j)
(-0.0186387-0.0240553j)
(-0.0265966-0.0162812j)
(-0.0296623-0.00542988j)
(-0.0270149+0.00540265j)
(-0.0194062+0.0135202j)
(-0.00881281+0.016712j)
(0.00205356+0.0144692j)
(0.0107063+0.00696349j)
(0.0143985-0.00400731j)
(0.0123105-0.0152864j)
(0.00483319-0.0240251j)
(-0.00600357-0.0282775j)
(-0.0176337-0.026363j)
(-0.0271201-0.0192022j)
