(-0.601324-0.443346j)
(-0.740578-0.0978356j)
(-0.695448+0.271828j)
(-0.477747+0.573725j)
(-0.141502+0.732721j)
(0.229699+0.709792j)
(0.543546+0.51076j)
(0.722715+0.185018j)
(0.722393-0.186737j)
(0.542675-0.512268j)
(0.227993-0.710627j)
(-0.14616-0.732062j)
(-0.481504-0.57049j)
(-0.697141-0.266911j)
(-0.739088+0.102955j)
(-0.597247+0.447062j)
(-0.306998+0.679703j)
(0.0592013+0.743125j)
(0.410271+0.622011j)
(0.659408+0.346698j)
(0.7448-0.0145676j)
(0.645298-0.371996j)
(0.385627-0.637261j)
(0.0302155-0.744195j)
(-0.332885-0.666307j)
(-0.613147-0.422786j)
(-0.740906-0.0742388j)
(-0.684213+0.292457j)
(-0.45767+0.586071j)
(-0.117925+0.733721j)
(0.250526+0.699345j)
(0.556468+0.49159j)
(0.724386+0.162258j)
(0.712639-0.207236j)
(0.524192-0.525344j)
(0.205829-0.71315j)
(-0.163814-0.724018j)
(-0.492722-0.555039j)
(-0.699311-0.248243j)
(-0.732135+0.119932j)
(-0.583218+0.458212j)
(-0.289786+0.682443j)
(0.0752447+0.737332j)
(0.421375+0.609425j)
(0.662937+0.330598j)
(0.740391-0.0300466j)
(0.63422-0.383596j)
(0.370625-0.64211j)
(0.0145682-0.741403j)
(-0.345356-0.656581j)
(-0.619572-0.408049j)
(-0.739723-0.0579106j)
(-0.675334+0.306685j)
(-0.442904+0.594723j)
(-0.100424+0.734413j)
(0.266572+0.691314j)
(0.566868+0.476535j)
(0.726441+0.143666j)
(0.705519-0.224796j)
(0.509519-0.537573j)
(0.186699-0.716932j)
(-0.181388-0.719292j)
(-0.506217-0.541324j)
(-0.704826-0.229311j)
(-0.727846+0.139733j)
(-0.569514+0.473666j)
(-0.269839+0.689274j)
(0.0964516+0.733406j)
(0.438213+0.59544j)
(0.670819+0.309892j)
(0.736804-0.0520511j)
(0.620174-0.401009j)
(0.349795-0.650397j)
(-0.00756569-0.738481j)
(-0.363107-0.643272j)
(-0.628495-0.387905j)
(-0.737709-0.0362754j)
(-0.663074+0.324459j)
(-0.423853+0.604158j)
(-0.0795844+0.733313j)
(0.283964+0.680382j)
(0.576772+0.458697j)
(0.726379+0.123321j)
(0.695766-0.242204j)
(0.492498-0.54801j)
(0.16715-0.717668j)
(-0.200146-0.709376j)
(-0.517947-0.524493j)
(-0.706974-0.208926j)
(-0.719819+0.158234j)
(-0.553665+0.485857j)
(-0.250272+0.692537j)
(0.115014+0.727036j)
(0.451292+0.581279j)
(0.67552+0.291439j)
(0.732569-0.0704352j)
(0.607825-0.415389j)
(0.331989-0.657487j)
(-0.0268147-0.736283j)
(-0.37941-0.632098j)
(-0.637778-0.370028j)
(-0.737134-0.0158199j)
(-0.652757+0.342036j)
(-0.406127+0.614642j)
(-0.0588788+0.733836j)
(0.302626+0.670845j)
(0.588549+0.441505j)
(0.728352+0.102589j)
(0.687548-0.261338j)
(0.476159-0.560749j)
(0.146436-0.721101j)
(-0.219262-0.703151j)
(-0.532005-0.509166j)
(-0.711811-0.188602j)
(-0.714063+0.178828j)
(-0.538407+0.501218j)
(-0.229219+0.698443j)
(0.136341+0.721755j)
(0.467448+0.566164j)
(0.682158+0.270297j)
(0.727834-0.0923367j)
(0.592976-0.43186j)
(0.310955-0.664708j)
(-0.0483788-0.732379j)
(-0.396228-0.61802j)
(-0.645202-0.349849j)
(-0.733732+0.0053811j)
(-0.639689+0.358817j)
(-0.386811+0.622821j)
(-0.0382572+0.73156j)
(0.319221+0.658813j)
(0.597082+0.423126j)
(0.727089+0.0827661j)
(0.676859-0.278011j)
(0.458758-0.570073j)
(0.126859-0.720969j)
(-0.237172-0.692935j)
(-0.542509-0.492444j)
(-0.712994-0.169036j)
(-0.70589+0.196351j)
(-0.523122+0.512844j)
(-0.210274+0.701498j)
(0.154449+0.715581j)
(0.480398+0.552077j)
(0.686807+0.251737j)
(0.723151-0.110877j)
(0.579998-0.44604j)
(0.292834-0.670873j)
(-0.0675949-0.729005j)
(-0.411513-0.605911j)
(-0.653107-0.331649j)
(-0.732067+0.0253681j)
(-0.628428+0.375845j)
(-0.368558+0.632382j)
(-0.0173302+0.731145j)
(0.337618+0.648282j)
(0.608222+0.404635j)
(0.727697+0.0609056j)
(0.666677-0.297644j)
(0.440377-0.582311j)
(0.10468-0.722702j)
(-0.257189-0.683849j)
(-0.555527-0.474564j)
(-0.715715-0.147057j)
(-0.697583+0.217103j)
(-0.505546+0.52688j)
(-0.188127+0.705118j)
(0.175738+0.707725j)
(0.49511+0.53475j)
(0.691181+0.229285j)
(0.715955-0.13242j)
(0.563158-0.461079j)
(0.271156-0.675412j)
(-0.088421-0.722514j)
(-0.426317-0.590327j)
(-0.658364-0.311218j)
(-0.72694+0.0454924j)
(-0.614453+0.39063j)
(-0.349168+0.638515j)
(0.00238817+0.727394j)
(0.352963+0.63549j)
(0.615509+0.386376j)
(0.725403+0.0413585j)
(0.655403-0.313359j)
(0.422889-0.590564j)
(0.0856835-0.721437j)
(-0.273171-0.673307j)
(-0.564533-0.457965j)
(-0.715579-0.12818j)
(-0.688612+0.233306j)
(-0.490095+0.536661j)
(-0.169967+0.706373j)
(0.192025+0.700155j)
(0.505754+0.52034j)
(0.693451+0.211816j)
(0.709683-0.14896j)
(0.549875-0.47269j)
(0.253698-0.679472j)
(-0.105655-0.717728j)
(-0.439216-0.577817j)
(-0.663772-0.294083j)
(-0.723393+0.0633102j)
(-0.602877+0.404751j)
(-0.332196+0.645357j)
(0.020507+0.725283j)
(0.367985+0.624963j)
(0.623686+0.369787j)
(0.724251+0.0229678j)
(0.64539-0.329195j)
(0.406481-0.599865j)
(0.0666129-0.721915j)
(-0.290987-0.664321j)
(-0.575425-0.441793j)
(-0.717183-0.108853j)
(-0.680518+0.251323j)
(-0.474164+0.548645j)
(-0.150062+0.709161j)
(0.210833+0.692935j)
(0.518929+0.504771j)
(0.697574+0.19155j)
(0.703078-0.168739j)
(0.534441-0.486916j)
(0.233215-0.684521j)
(-0.126272-0.712162j)
(-0.454729-0.562632j)
(-0.669948-0.272965j)
(-0.718237+0.0848181j)
(-0.587695+0.421308j)
(-0.310641+0.652526j)
(0.0431043+0.720982j)
(0.385567+0.610035j)
(0.631671+0.347898j)
(0.720673-0.000217549j)
(0.631152-0.347737j)
(0.385042-0.609063j)
(0.0435906-0.719506j)
(-0.309184-0.651302j)
(-0.585561-0.421227j)
(-0.716232-0.0857531j)
(-0.668703+0.271074j)
(-0.454125+0.560297j)
(-0.126982+0.709768j)
(0.231448+0.682237j)
(0.531648+0.485469j)
(0.699287+0.168485j)
(0.693681-0.189747j)
(0.515962-0.500779j)
(0.210291-0.687808j)
(-0.147818-0.703969j)
(-0.469566-0.545194j)
(-0.674462-0.250528j)
(-0.711714+0.106798j)
(-0.57118+0.437391j)
(-0.288491+0.658791j)
(0.0654508+0.715581j)
(0.402619+0.594325j)
(0.638826+0.325895j)
(0.716282-0.0226183j)
(0.61639-0.364809j)
(0.364208-0.616733j)
(0.0216748-0.716026j)
(-0.32671-0.637791j)
(-0.594349-0.400969j)
(-0.714383-0.0639571j)
(-0.656465+0.289257j)
(-0.434731+0.570312j)
(-0.104958+0.708877j)
(0.250473+0.670895j)
(0.542857+0.466272j)
(0.699861+0.14635j)
(0.683315-0.209095j)
(0.497662-0.512477j)
(0.188931-0.688966j)
(-0.166687-0.694934j)
(-0.48153-0.528504j)
(-0.677214-0.230599j)
(-0.704699+0.125297j)
(-0.556459+0.450085j)
(-0.269555+0.662774j)
(0.0839302+0.710096j)
(0.416059+0.581011j)
(0.644206+0.308057j)
(0.712638-0.0406051j)
(0.604681-0.378856j)
(0.347196-0.623437j)
(0.00382523-0.713829j)
(-0.341215-0.627653j)
(-0.602276-0.385582j)
(-0.714252-0.0468848j)
(-0.648296+0.304215j)
(-0.420533+0.579808j)
(-0.0879139+0.710814j)
(0.266493+0.66463j)
(0.553998+0.453077j)
(0.703557+0.129239j)
(0.678466-0.226198j)
(0.485063-0.525421j)
(0.171511-0.694279j)
(-0.184744-0.690984j)
(-0.495663-0.516148j)
(-0.683648-0.212474j)
(-0.7013+0.144564j)
(-0.543867+0.465631j)
(-0.250682+0.670177j)
(0.104418+0.707097j)
(0.432532+0.568146j)
(0.652184+0.288387j)
(0.709654-0.0618678j)
(0.591194-0.395967j)
(0.326917-0.631633j)
(-0.0179842-0.71098j)
(-0.358875-0.613977j)
(-0.610613-0.36497j)
(-0.711095-0.0248824j)
(-0.634734+0.321609j)
(-0.400272+0.588283j)
(-0.06631+0.708124j)
(0.283642+0.651719j)
(0.562419+0.433757j)
(0.701181+0.108376j)
(0.666185-0.242887j)
(0.466383-0.533794j)
(0.151425-0.692486j)
(-0.201269-0.679933j)
(-0.504509-0.49884j)
(-0.682932-0.193564j)
(-0.691887+0.160286j)
(-0.528507+0.474407j)
(-0.233543+0.670718j)
(0.119393+0.699786j)
(0.442278+0.554836j)
(0.654619+0.272575j)
(0.704615-0.0768986j)
(0.580004-0.406876j)
(0.311912-0.636133j)
(-0.0334481-0.708087j)
(-0.371106-0.60448j)
(-0.617224-0.350737j)
(-0.710205-0.00886179j)
(-0.62655+0.335385j)
(-0.386501+0.596444j)
(-0.0502334+0.708977j)
(0.298396+0.644722j)
(0.572233+0.420379j)
(0.703512+0.0920982j)
(0.660559-0.258746j)
(0.453793-0.545009j)
(0.134659-0.69632j)
(-0.217862-0.674932j)
(-0.516847-0.486144j)
(-0.687541-0.176347j)
(-0.68743+0.177787j)
(-0.516114+0.487721j)
(-0.216167+0.676425j)
