(-0.460804+0.597474j)
(-0.113892+0.745565j)
(0.261081+0.707338j)
(0.570589+0.49253j)
(0.737513+0.15491j)
(0.720246-0.22136j)
(0.523143-0.542312j)
(0.195276-0.727908j)
(-0.181612-0.73151j)
(-0.513185-0.552045j)
(-0.716266-0.234334j)
(-0.739805+0.142466j)
(-0.577934+0.482957j)
(-0.27172+0.702282j)
(0.102362+0.745792j)
(0.450367+0.60302j)
(0.685785+0.30948j)
(0.749968-0.0611717j)
(0.626503-0.416699j)
(0.346531-0.667949j)
(-0.0201706-0.75202j)
(-0.381872-0.648255j)
(-0.648002-0.382055j)
(-0.751747-0.0203821j)
(-0.667284+0.34603j)
(-0.416163+0.625733j)
(-0.0612257+0.74866j)
(0.308526+0.684498j)
(0.601061+0.449633j)
(0.743629+0.102543j)
(0.700373-0.270318j)
(0.482089-0.575516j)
(0.143163-0.737068j)
(-0.231619-0.714208j)
(-0.548468-0.512551j)
(-0.727987-0.182757j)
(-0.725127+0.192692j)
(-0.541034+0.519604j)
(-0.221867+0.716362j)
(0.152419+0.73393j)
(0.488219+0.568264j)
(0.702165+0.260927j)
(0.740789-0.111494j)
(0.59424-0.456148j)
(0.299236-0.686812j)
(-0.0708965-0.74593j)
(-0.423319-0.618263j)
(-0.669704-0.335748j)
(-0.748243+0.0305553j)
(-0.639689+0.388946j)
(-0.371287+0.649781j)
(-0.0104121+0.747957j)
(0.352681+0.659308j)
(0.627574+0.406127j)
(0.745674+0.0517091j)
(0.677427-0.315557j)
(0.440019-0.603959j)
(0.0926631-0.741658j)
(-0.278097-0.693815j)
(-0.579328-0.472337j)
(-0.735449-0.132498j)
(-0.707537+0.241246j)
(-0.502579+0.552019j)
(-0.172516+0.725968j)
(0.200231+0.718484j)
(0.522696+0.531604j)
(0.71444+0.212252j)
(0.728007-0.159955j)
(0.559794-0.492302j)
(0.251528-0.701843j)
(-0.119703-0.735912j)
(-0.461208-0.585866j)
(-0.687242-0.289205j)
(-0.741182+0.0798178j)
(-0.609691+0.428618j)
(-0.325706+0.669822j)
(0.0392039+0.743503j)
(0.394041+0.631374j)
(0.650211+0.361844j)
(0.743916+0.00206147j)
(0.65201-0.358229j)
(0.397295-0.629188j)
(0.042911-0.74307j)
(-0.322346-0.670908j)
(-0.607013-0.430616j)
(-0.739482-0.0827686j)
(-0.686966+0.285697j)
(-0.462427+0.582367j)
(-0.122596+0.733022j)
(0.247411+0.700414j)
(0.555436+0.493055j)
(0.724397+0.162751j)
(0.712614-0.208092j)
(0.522935-0.526887j)
(0.202604-0.714243j)
(-0.168609-0.72309j)
